Reference_ID,Reference_Source,Authors,Year_published,Title,Source,Volume,First_page,Last_page,N_pages,SUDOCS,N_sites
Leis2008,JSTOR,Sherry A. Leis; David M. Leslie Jr.; David M. Engle; and Jeffery S. Fehmi,2008,Small mammals as indicators of short-term and long-term disturbance in mixed prairie,Environmental Monitoring and Assessment,137,75,84,10,NULL,2
Li2003,Web of Science,Jun Sheng Li; Yan Ling Song; and Zhi Gao Zeng,2003,Elevational gradients of small mammal diversity on the northern slopes of Mt. Qilian; China,Global Ecology and Biogeography,12,449,460,12,NULL,21
Litt2007,UMI,Andrea Rebecca Litt,2007,Effects of experimental fire and nonnative grass invasion on small mammals and insects,University of Arizona,NULL,1,256,256,NULL,1
Mahlaba2003,Web of Science,T. A. M. Mahlaba and M. R. Perrin,2003,Population dynamics of small mammals at Mlawula; Swaziland,African Journal of Ecology,41,317,323,7,NULL,1
Mahon1998,UMI,Todd E. Mahon,1998,Responses of small mammal populations to partial cuts and clearcuts in west-central British Columbia,Simon Fraser University,NULL,1,87,87,NULL,4
Maisonneuve2001,BioOne,Charles Maisonneuve and Stephanie Rioux,2001,Importance of riparian habitats for small mammal and herpetofaunal communities in agricultural landscapes of southern Quebec,Agriculture; Ecosystems and Environment,83,165,175,11,NULL,3
Manning2004,BioOne,Jefferey A. Manning and W. Daniel Edge,2004,Small mammal survival and downed wood at multiple scales in managed forests,Journal of Mammalogy,85,87,96,10,NULL,6
Mares1995,Web of Science,Michael A. Mares and Kristina A. Ernest,1995,Population and community ecology of small mammals in a gallery forest of central Brazil,Journal of Mammalogy,76,750,768,19,NULL,1
Margaletic2005,Web of Science,J. Margaletic; M. Bozic; M. Grubesic; M. Glavas; and W. Baumler,2005,Distribution and abundance of small rodents in Croatian forests,Journal of Pest Science,78,99,103,5,NULL,1
Mastrota1989,JSTOR,Francis N. Mastrota; Richard H. Yahner; and Gerald L. Storm,1989,Small mammal communities in a mixed-oak forest irrigated with wastewater,American Midland Naturalist,122,388,393,6,NULL,2
Mauffrey2007,BioOne,J. F. Mauffrey; C. Steiner; and F. M. Catzeflis,2007,Small mammal diversity and abundance in a French Guianan rain forest: Test of sampling procedures using species rarefaction curves,Journal of Tropical Ecology,23,419,425,7,NULL,3
Maxwell1968,JSTOR,Marvin H. Maxwell and Larry N. Brown,1968,Ecological distribution of rodents on the high plains of eastern Wyoming,The Southwestern Naturalist,13,141,158,18,NULL,7
McGee1982,BioOne,John M. McGee,1982,Small mammal populations in the unburned and early fire successional sagebrush community ,Journal of Range Management,35,177,180,4,NULL,1
McShea2003,Web of Science,William J. McShea; John Pagels; John Orrock; Elizabeth Harper; and Kevin Koy,2003,Mesic deciduous forest as patches of small mammal richness within an Appalachian Mountain forest,Journal of Mammalogy,84,627,643,17,NULL,7
Medin1989a,US Gov Pubs,Dean E. Medin and Gordon D. Booth,1989,Responses of birds and small mammals to single-tree selection logging in Idaho,USDA; Forest Service; Intermountain Research Station; INT-408,NULL,NULL,NULL,11,A 13.78: INT-408,2
Medin1989b,US Gov Pubs,Dean E. Medin and Warren P. Clary ,1989,Small mammal populations in a grazed and ungrazed riparian habitat in Nevada,USDA; Forest Service; Intermountain Research Station; INT-413,NULL,NULL,NULL,6,A 13.78: INT-413,2
MerrittPC,Brown & Nicoletto 1991,Joseph F. Merritt,NULL,unpublished,NULL,NULL,NULL,NULL,NULL,NULL,2
Miller2004,Web of Science,Darren A. Miller; Ronald E. Thill; M. Anthony Melchiors; T. Bently Wigley; and Philip A. Tappe,2004,Small mammal communities of streamside management zones in intensively managed pine forest of Arkansas,Forest Ecology and Management,203,381,393,13,NULL,6
